Ranking,,NPSN,Sekolah,Nilai Total,Provinsi,Kota/Kab.,Jenis
,,,,,,, SMA MA SMK PKBM 
1,1,20623314,MAN INSAN CENDEKIA SERPONG More..,"637,807",Banten,Kota Tangerang Selatan,MA 
2,1,20109933,SMAN UNGGULAN M.H. THAMRIN More..,"635,675",DKI Jakarta,Kota Jakarta Timur,SMA
3,1,20102568,SMAN 8 JAKARTA More..,"630,86",DKI Jakarta,Kota Jakarta Selatan,SMA
4,1,10263538,SMAS UNGGUL DEL More..,"630,177",Sumatera Utara,Kab. Toba Samosir,SMA
5,2,20219730,SMAS BPK 1 PENABUR BANDUNG More..,"618,415",Jawa Barat,Kota Bandung,SMA
6,,20101306,SMAS 1 KRISTEN BPK PENABUR More..,"617,214",DKI Jakarta,Kota Jakarta Barat,SMA
7,5,20403178,SMAN 3 YOGYAKARTA More..,"616,584",DI Yogyakarta,Kota Yogyakarta,SMA
8,3,20532248,SMAN 5 SURABAYA More..,"615,6",Jawa Timur,Kota Surabaya,SMA
9,4,20107319,SMAN 28 JAKARTA More..,"611,727",DKI Jakarta,Kota Jakarta Selatan,SMA
10,1,20403174,SMAN 1 YOGYAKARTA More..,"609,308",DI Yogyakarta,Kota Yogyakarta,SMA
11,3,20103301,SMAN 81 JAKARTA More..,"607,402",DKI Jakarta,Kota Jakarta Timur,SMA
12,16,20107313,SMA LABSCHOOL KEBAYORAN More..,"607,014",DKI Jakarta,Kota Jakarta Selatan,SMA
13,3,20532145,SMA KATOLIK ST.LOUIS 1 More..,"604,896",Jawa Timur,Kota Surabaya,SMA
14,8,20100601,SMAS KRISTEN 5 BPK PENABUR More..,"604,204",DKI Jakarta,Kota Jakarta Utara,SMA
15,12,20603376,SMAS SANTA URSULA BSD More..,"603,309",Banten,Kota Tangerang Selatan,SMA
16,,20100170,SMAS KANISIUS JAKARTA More..,"603,144",DKI Jakarta,Kota Jakarta Pusat,SMA
17,1,20403161,SMAN 8 YOGYAKARTA More..,"602,369",DI Yogyakarta,Kota Yogyakarta,SMA
18,12,20616061,SMAS PAHOA More..,"602,107",Banten,Kab. Tangerang,SMA
19,10,20102214,SMAN 34 JAKARTA More..,"601,49",DKI Jakarta,Kota Jakarta Selatan,SMA
20,1,20100187,SMAS KRISTEN 3 PENABUR JAKARTA More..,"600,743",DKI Jakarta,Kota Jakarta Pusat,SMA
21,23,20100199,SMAN 68 JAKARTA More..,"598,806",DKI Jakarta,Kota Jakarta Pusat,SMA
22,11,30315142,SMAN BANUA KAL SEL More..,"598,449",Kalimantan Selatan,Kab. Banjar,SMA
23,10,20328915,SMAS KOLESE LOYOLA More..,"598,006",Jawa Tengah,Kota Semarang,SMA
24,1,20108383,SMAS SANTA URSULA More..,"597,814",DKI Jakarta,Kota Jakarta Pusat,SMA
25,11,60728785,MAN Insan Cendekia Gorontalo More..,"597,665",Gorontalo,Kab. Bone Bolango,MA 
26,2,20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG More..,"597,025",Banten,Kab. Tangerang,SMA
27,1,20109467,SMAS KRISTEN IPEKA PURI INDAH More..,"596,974",DKI Jakarta,Kota Jakarta Barat,SMA
28,3,20403177,SMAN 2 YOGYAKARTA More..,"596,448",DI Yogyakarta,Kota Yogyakarta,SMA
29,14,20101622,SMAN 2 JAKARTA More..,"596,367",DKI Jakarta,Kota Jakarta Barat,SMA
30,16,20101588,SMAN 78 JAKARTA More..,"595,711",DKI Jakarta,Kota Jakarta Barat,SMA
31,23,20103307,SMAN 61 JAKARTA More..,"594,675",DKI Jakarta,Kota Jakarta Timur,SMA
32,6,69787002,SMAK PENABUR KOTA TANGERANG More..,"594,357",Banten,Kota Tangerang,SMA
33,7,20533665,SMAN 3 More..,"593,67",Jawa Timur,Kota Malang,SMA
34,11,69941723,MAN INSAN CENDEKIA PEKALONGAN More..,"592,763",Jawa Tengah,Kota Pekalongan,MA 
35,26,20580050,MAN 2 KOTA MALANG More..,"592,212",Jawa Timur,Kota Malang,MA 
36,1,20327966,SMAN 1 SURAKARTA More..,"591,427",Jawa Tengah,Kota Surakarta,SMA
37,41,20107304,SMAS ISLAM AL-AZHAR 1 JAKARTA More..,"591,282",DKI Jakarta,Kota Jakarta Selatan,SMA
38,34,20614920,SMA BINA NUSANTARA SERPONG More..,"590,181",Banten,Kota Tangerang Selatan,SMA
39,16,20103314,SMAN 48 JAKARTA More..,"589,804",DKI Jakarta,Kota Jakarta Timur,SMA
40,30,20102218,SMAN 26 JAKARTA More..,"589,339",DKI Jakarta,Kota Jakarta Selatan,SMA
41,7,20328895,SMA NEGERI 03 More..,"588,524",Jawa Tengah,Kota Semarang,SMA
42,34,10310903,SMAN 1 SUMATERA BARAT More..,"588,361",Sumatera Barat,Kota Padang Panjang,SMA
43,20,20219263,SMAS ALLOYSIUS 1 More..,"587,438",Jawa Barat,Kota Bandung,SMA
44,3,20400405,SMA NEGERI 1 BANTUL More..,"587,38",DI Yogyakarta,Kab. Bantul,SMA
45,6,20220342,SMAN 1 BOGOR More..,"587,276",Jawa Barat,Kota Bogor,SMA
46,6,20532230,SMAN 2 SURABAYA More..,"586,931",Jawa Timur,Kota Surabaya,SMA
47,6,20403171,SMAN 6 YOGYAKARTA More..,"586,928",DI Yogyakarta,Kota Yogyakarta,SMA
48,6,20533654,SMAS K KOLESE ST YUSUP More..,"586,399",Jawa Timur,Kota Malang,SMA
49,36,20327563,SMAN 1 MAGELANG More..,"586,372",Jawa Tengah,Kota Magelang,SMA
50,1,20403162,SMAN 9 YOGYAKARTA More..,"585,956",DI Yogyakarta,Kota Yogyakarta,SMA
51,2,20219327,SMAN 3 BANDUNG More..,"584,819",Jawa Barat,Kota Bandung,SMA
52,4,10210848,SMAS SUTOMO 1 More..,"584,801",Sumatera Utara,Kota Medan,SMA
53,11,20403180,SMAN 5 YOGYAKARTA More..,"584,538",DI Yogyakarta,Kota Yogyakarta,SMA
54,13,20606853,SMAN 1 TANGERANG More..,"584,444",Banten,Kota Tangerang,SMA
55,20,20306202,SMAN 1 PURWOREJO More..,"583,308",Jawa Tengah,Kab. Purworejo,SMA
56,2,20533660,SMAN 1 More..,"583,01",Jawa Timur,Kota Malang,SMA
57,5,20523844,SMAN 1 JEMBER More..,"582,797",Jawa Timur,Kab. Jember,SMA
58,13,20223020,SMAN 1 BEKASI More..,"582,509",Jawa Barat,Kota Bekasi,SMA
59,50,20534124,SMAN 2 MADIUN More..,"581,924",Jawa Timur,Kota Madiun,SMA
60,47,20401145,SMAN 1 KALASAN More..,"581,794",DI Yogyakarta,Kab. Sleman,SMA
61,36,20103283,SMAN 21 JAKARTA More..,"581,557",DKI Jakarta,Kota Jakarta Timur,SMA
62,29,20102193,SMAN 47 JAKARTA More..,"580,882",DKI Jakarta,Kota Jakarta Selatan,SMA
63,3,20107299,SMAS GONZAGA JAKARTA More..,"580,858",DKI Jakarta,Kota Jakarta Selatan,SMA
64,9,10303611,SMAN 1 PADANG PANJANG More..,"580,136",Sumatera Barat,Kota Padang Panjang,SMA
65,27,20402126,SMAN 1 WONOSARI More..,"580,028",DI Yogyakarta,Kab. Gunung Kidul,SMA
66,3,20501706,SMAN 1 SIDOARJO More..,"579,75",Jawa Timur,Kab. Sidoarjo,SMA
67,1,20219728,SMAS BPK 2 PENABUR More..,"579,584",Jawa Barat,Kota Bandung,SMA
68,11,20103228,SMAS KRISTEN 7 BPK PENABUR JAKARTA More..,"579,313",DKI Jakarta,Kota Jakarta Timur,SMA
69,41,20307712,SMAN 1 MUNTILAN More..,"579,211",Jawa Tengah,Kab. Magelang,SMA
70,86,69983368,MAN INSAN CENDEKIA PADANG PARIAMAN More..,"579,01",Sumatera Barat,Kab. Padang Pariaman,MA 
71,84,20103285,SMAN 12 JAKARTA More..,"578,89",DKI Jakarta,Kota Jakarta Timur,SMA
72,59,20253599,SMAS PENABUR More..,"578,703",Jawa Barat,Kota Bekasi,SMA
73,112,20401124,SMAN 1 SLEMAN More..,"578,653",DI Yogyakarta,Kab. Sleman,SMA
74,16,20220343,SMAS REGINA PACIS More..,"578,595",Jawa Barat,Kota Bogor,SMA
75,1,60724799,SMAS DARMA YUDHA More..,"578,582",Riau,Kota Pekanbaru,SMA
76,5,20305010,SMAN 1 KEBUMEN More..,"578,171",Jawa Tengah,Kab. Kebumen,SMA
77,23,20321438,SMA NEGERI 1 TEMANGGUNG More..,"578,074",Jawa Tengah,Kab. Temanggung,SMA
78,20,20102570,SMAN 70 JAKARTA More..,"577,481",DKI Jakarta,Kota Jakarta Selatan,SMA
79,10,20101589,SMAN 65 JAKARTA More..,"577,345",DKI Jakarta,Kota Jakarta Barat,SMA
80,70,20401146,SMAN 1 GODEAN More..,"577,257",DI Yogyakarta,Kab. Sleman,SMA
81,33,20100806,SMAN 13 JAKARTA More..,"577,111",DKI Jakarta,Kota Jakarta Utara,SMA
82,40,20103296,SMAN 39 JAKARTA More..,"576,86",DKI Jakarta,Kota Jakarta Timur,SMA
83,6,20309676,SMAN 1 KLATEN More..,"576,836",Jawa Tengah,Kab. Klaten,SMA
84,10,20328447,SMAN 1 SALATIGA More..,"576,753",Jawa Tengah,Kota Salatiga,SMA
85,32,20247147,SMAS PESANTREN UNGGUL AL BAYAN More..,"576,549",Jawa Barat,Kab. Sukabumi,SMA
86,4,20500479,SMAN 1 GRESIK More..,"576,513",Jawa Timur,Kab. Gresik,SMA
87,33,20307644,SMAS PANGUDI LUHUR VAN LITH More..,"576,137",Jawa Tengah,Kab. Magelang,SMA
88,23,20607805,SMAN CMBBS More..,"576,099",Banten,Kab. Pandeglang,SMA
89,2,20103284,SMAN 14 JAKARTA More..,"575,534",DKI Jakarta,Kota Jakarta Timur,SMA
90,58,69883214,SMA PLUS AR RAHMAT More..,"575,436",Jawa Timur,Kab. Bojonegoro,SMA
91,54,20102212,SMAN 38 JAKARTA More..,"575,283",DKI Jakarta,Kota Jakarta Selatan,SMA
92,12,20223819,SMAN 1 KOTA DEPOK More..,"574,808",Jawa Barat,Kota Depok,SMA
93,49,20327969,SMAN 4 SURAKARTA More..,"574,798",Jawa Tengah,Kota Surakarta,SMA
94,2,20532237,SMAN 15 SURABAYA More..,"574,739",Jawa Timur,Kota Surabaya,SMA
95,20,20613477,SMAN 2 KOTA TANGERANG SELATAN More..,"574,404",Banten,Kota Tangerang Selatan,SMA
96,40,20328896,SMA NEGERI 02 More..,"574,09",Jawa Tengah,Kota Semarang,SMA
97,71,69870886,SMA KRISTEN PENABUR SUMMARECON BEKASI More..,"573,831",Jawa Barat,Kota Bekasi,SMA
98,18,10100170,SMA NEGERI MODAL BANGSA More..,"573,38",Aceh,Kab. Aceh Besar,SMA
99,5,20327968,SMAN 3 SURAKARTA More..,"573,251",Jawa Tengah,Kota Surakarta,SMA
100,63,20103303,SMAN 71 JAKARTA More..,"572,554",DKI Jakarta,Kota Jakarta Timur,SMA
